base_name,label,family,num_seeds,val_rmse_mean,val_rmse_std,routine_test_rmse_mean,routine_test_rmse_std,ood_test_rmse_mean,ood_test_rmse_std,smoothness_mean,smoothness_std,roll_consistency_rmse_mean,roll_consistency_rmse_std,first_step_jump_rmse_mean,first_step_jump_rmse_std,max_abs_second_diff_p95_mean,max_abs_second_diff_p95_std,ood_gain_vs_baseline_pct
e4_joint_l005_lr3e4_nomix_r0050,"Joint (l=0.05, lr=3e-4, r=0.005)",joint,5,0.0240962412557,0.000810426150377,0.024266502127,0.000830689226491,0.180639936477,0.000623141656168,8.54936641533e-06,6.5173541235e-07,0.00133098083282,6.44445811481e-05,0.00497930568579,9.88425854021e-05,0.00641035900626,0.000251170300702,5.43511354343
e4_joint_l005_lr3e4_nomix_s0010_r0050,"Joint (l=0.05, lr=3e-4, s=0.001, r=0.005)",joint,5,0.0239703218779,0.000537336254721,0.0241397520252,0.000440443937043,0.180745380498,0.000574983780815,8.46616178606e-06,4.18459486722e-07,0.00135376141567,0.000115240455756,0.00496938004299,8.15608431242e-05,0.00636436699657,0.000174403318624,5.37991366848
e4_vmd_ccg_l003_lr5e4_nomix,"VMD-CCG (l=0.03, lr=5e-4, no mixer)",vmd,5,0.0243342211072,0.000940644298454,0.0245374071196,0.000762546720554,0.181291204004,0.00107587560995,0.000932826105678,0.000127661127333,0.00252122181977,0.000105388014476,0.126948146755,0.00286357572645,0.0652994155884,1.08735601911e-06,5.09417542645
e4_ccg_phys_s0010_r0075_prphi,"CCG-Phys (p/phi smooth, r=0.0075)",phys,5,0.0301111122676,0.000578989487667,0.0305497855686,0.000627711546735,0.188913162954,0.00615913728172,1.01227976052e-05,5.91317601567e-07,0.00175457288961,0.000122290218981,0.0073510455161,0.000365066849525,0.00662231445312,0.000184766861547,1.1040849915
e4_ccg_xlstm_base,CCG Baseline,baseline,5,0.0303525633258,0.000583218042133,0.0307123652069,0.000882587053914,0.191022210511,0.00751274643972,0.000575760033098,0.000107381657423,0.00271696454982,0.000107332779504,0.184482189413,0.00988516305659,0.0625,0,0
