base_name,label,family,seed,run_name,val_rmse,routine_test_rmse,ood_test_rmse,smoothness,roll_consistency_rmse,first_step_jump_rmse,max_abs_second_diff_p95
e4_joint_l005_lr3e4_nomix_r0050,"Joint (l=0.05, lr=3e-4, r=0.005)",joint,10007,e4_joint_l005_lr3e4_nomix_r0050_seed10007,0.0240993584669,0.0244373294062,0.180774061341,8.59790953546e-06,0.00140259514204,0.00498865307002,0.00641240690893
e4_joint_l005_lr3e4_nomix_r0050,"Joint (l=0.05, lr=3e-4, r=0.005)",joint,2026,e4_joint_l005_lr3e4_nomix_r0050_seed2026,0.0249577054171,0.0253036152015,0.181586281142,8.62441121633e-06,0.00137801137463,0.00494325788707,0.00644086301327
e4_joint_l005_lr3e4_nomix_r0050,"Joint (l=0.05, lr=3e-4, r=0.005)",joint,3407,e4_joint_l005_lr3e4_nomix_r0050_seed3407,0.0229365123643,0.0232897728606,0.180599351331,7.6255361946e-06,0.0012871326692,0.00483058770471,0.00604070785921
e4_joint_l005_lr3e4_nomix_r0050,"Joint (l=0.05, lr=3e-4, r=0.005)",joint,42,e4_joint_l005_lr3e4_nomix_r0050_seed42,0.0247420643662,0.0247316992744,0.180340604198,8.44086595311e-06,0.00124587504036,0.00507675564126,0.00640868601622
e4_joint_l005_lr3e4_nomix_r0050,"Joint (l=0.05, lr=3e-4, r=0.005)",joint,7,e4_joint_l005_lr3e4_nomix_r0050_seed7,0.0237455656637,0.0235700938921,0.17989938437,9.45810917714e-06,0.00134128993788,0.0050572741259,0.00674913123366
e4_joint_l005_lr3e4_nomix_s0010_r0050,"Joint (l=0.05, lr=3e-4, s=0.001, r=0.005)",joint,10007,e4_joint_l005_lr3e4_nomix_s0010_r0050_seed10007,0.0237654218781,0.0241286881952,0.180608667939,8.53477252329e-06,0.00139863403533,0.00498586565905,0.0063859783113
e4_joint_l005_lr3e4_nomix_s0010_r0050,"Joint (l=0.05, lr=3e-4, s=0.001, r=0.005)",joint,2026,e4_joint_l005_lr3e4_nomix_s0010_r0050_seed2026,0.0241642141101,0.0243259900543,0.181190343372,7.80232978971e-06,0.00122524201975,0.00501245527145,0.00607491284609
e4_joint_l005_lr3e4_nomix_s0010_r0050,"Joint (l=0.05, lr=3e-4, s=0.001, r=0.005)",joint,3407,e4_joint_l005_lr3e4_nomix_s0010_r0050_seed3407,0.0233671699312,0.0239883606492,0.181472833822,8.69548848959e-06,0.00146805774047,0.00489900757948,0.00642714456189
e4_joint_l005_lr3e4_nomix_s0010_r0050,"Joint (l=0.05, lr=3e-4, s=0.001, r=0.005)",joint,42,e4_joint_l005_lr3e4_nomix_s0010_r0050_seed42,0.0247887501714,0.0247270076218,0.180369327406,8.38879880129e-06,0.00123582739188,0.00507345374116,0.00638800599845
e4_joint_l005_lr3e4_nomix_s0010_r0050,"Joint (l=0.05, lr=3e-4, s=0.001, r=0.005)",joint,7,e4_joint_l005_lr3e4_nomix_s0010_r0050_seed7,0.0237660532984,0.0235287136055,0.180085729951,8.90941932645e-06,0.00144104589091,0.00487611796383,0.0065457932651
